"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1986-12","Dec-1986","PC","Percentage","0","Units",,,10.36,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1987-01","Jan-1987","PC","Percentage","0","Units",,,10.74,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1987-02","Feb-1987","PC","Percentage","0","Units",,,10.59,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1987-03","Mar-1987","PC","Percentage","0","Units",,,10.95,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1987-04","Apr-1987","PC","Percentage","0","Units",,,12.04,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1987-05","May-1987","PC","Percentage","0","Units",,,13.43,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1987-06","Jun-1987","PC","Percentage","0","Units",,,13.2,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1987-07","Jul-1987","PC","Percentage","0","Units",,,13.56,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1987-08","Aug-1987","PC","Percentage","0","Units",,,14.01,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1987-09","Sep-1987","PC","Percentage","0","Units",,,14.18,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1987-10","Oct-1987","PC","Percentage","0","Units",,,14.26,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1987-11","Nov-1987","PC","Percentage","0","Units",,,13.36,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1987-12","Dec-1987","PC","Percentage","0","Units",,,13.44,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1988-01","Jan-1988","PC","Percentage","0","Units",,,12.64,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1988-02","Feb-1988","PC","Percentage","0","Units",,,12.36,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1988-03","Mar-1988","PC","Percentage","0","Units",,,11.61,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1988-04","Apr-1988","PC","Percentage","0","Units",,,11.07,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1988-05","May-1988","PC","Percentage","0","Units",,,11.3,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1988-06","Jun-1988","PC","Percentage","0","Units",,,10.86,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1988-07","Jul-1988","PC","Percentage","0","Units",,,11.06,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1988-08","Aug-1988","PC","Percentage","0","Units",,,11.14,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1988-09","Sep-1988","PC","Percentage","0","Units",,,11.42,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1988-10","Oct-1988","PC","Percentage","0","Units",,,12.14,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1988-11","Nov-1988","PC","Percentage","0","Units",,,12.51,,
