"COUNTRY:Country"|"SEX:Sex"|"FIELD:Field of education"|"COUNTRY_ORIGIN:Country of origin"|"ISC11_LEVEL:Level of education"|"ISC11P_CAT:Category of education"|"YEAR:Year"|"Unit Code:Unit"|"PowerCode Code:PowerCode"|"Reference Period Code:Reference Period"|"Value"|"Flag Codes:Flags"
"BEL:Belgium"|"T:Total"|"F02:Arts and humanities"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||5079|
"BEL:Belgium"|"T:Total"|"F03:Social sciences, journalism and information"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2248|
"BEL:Belgium"|"T:Total"|"F04:Business, administration and law"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||3860|
"BEL:Belgium"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||759|
"BEL:Belgium"|"T:Total"|"F06:Information and Communication Technologies"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||541|
"BEL:Belgium"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2412|
"CAN:Canada"|"T:Total"|"F01:Education"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||50893.407|
"CAN:Canada"|"T:Total"|"F02:Arts and humanities"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||159853.862|
"CAN:Canada"|"T:Total"|"F03:Social sciences, journalism and information"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||170359.911|
"CAN:Canada"|"T:Total"|"F04:Business, administration and law"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||217708.601|
