"COUNTRY","Country","SEX","Sex","FIELD","Field of education","COUNTRY_ORIGIN","Country of origin","ISC11_LEVEL","Level of education","ISC11P_CAT","Category of education","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EST","Estonia","T","Total","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,3025,,
"ISR","Israel","T","Total","F04","Business, administration and law","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,39039.5,,
"ISR","Israel","T","Total","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,15408.5,,
"ISR","Israel","T","Total","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,18030,,
"LVA","Latvia","T","Total","F04","Business, administration and law","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,14577,,
"LVA","Latvia","T","Total","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,1396,,
"LVA","Latvia","T","Total","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,3164,,
"LTU","Lithuania","T","Total","F04","Business, administration and law","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,29795,,
"LTU","Lithuania","T","Total","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,3505,,
"LTU","Lithuania","T","Total","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,3938,,
"SVN","Slovenia","T","Total","F04","Business, administration and law","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,7854,,
"SVN","Slovenia","T","Total","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,2888,,
"SVN","Slovenia","T","Total","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,2073,,
